code,id,user_type:id,reconcile,name,note,chart_template_id/id
0,kp_rrif0000,account.data_account_type_receivable,,Potraživanja za upisani a neuplaćeni dionički kapital (analitika po upisnicima)-a1,Potraživanja za upisani a neuplaćeni dionički kapital (analitika po upisnicima)-Analitika 1,l10n_hr_chart_template_rrif
10,kp_rrif0010,account.data_account_type_receivable,,Potraživanja iz ponovljene emisije dionica za upisane a neuplaćene svote kapitala po emisijama dionica-a1,Potraživanja iz ponovljene emisije dionica za upisane a neuplaćene svote kapitala (razrada po emisijama dionica)-Analitika 1,l10n_hr_chart_template_rrif
20,kp_rrif0020,account.data_account_type_receivable,,Potraživanja za upisani a neuplaćeni kapital u d.o.o. (analitika po članovima društva)-a1,Potraživanja za upisani a neuplaćeni kapital u d.o.o. (analitika po članovima društva)-Analitika 1,l10n_hr_chart_template_rrif
30,kp_rrif0030,account.data_account_type_receivable,,Potraživanja za temeljni ulog komanditora-a1,Potraživanja za temeljni ulog komanditora-Analitika 1,l10n_hr_chart_template_rrif
40,kp_rrif0040,account.data_account_type_receivable,,Potraživanje za ostale uloge u kapital-a1,Potraživanje za ostale uloge u kapital-Analitika 1,l10n_hr_chart_template_rrif
100,kp_rrif0100,account.data_account_type_non_current_assets,,"Izdatci za razvoj projekta (konstruiranje i test. prototipova i modela,alata,naprava i kalupa i sl.","Izdatci za razvoj projekta (konstruiranje i testiranje prototipova i modela, dizajn alata, naprava i kalupa i sl.",l10n_hr_chart_template_rrif
101,kp_rrif0101,account.data_account_type_non_current_assets,,"Izdatci za razvoj proizvoda (uzorci, recepture, troškovi pronalazaka i sl.).","Izdatci za razvoj proizvoda (uzorci, recepture, troškovi pronalazaka i sl.).",l10n_hr_chart_template_rrif
102,kp_rrif0102,account.data_account_type_non_current_assets,,Izdatci za istraživanje mineralnih blaga (MSFI 6),Izdatci za istraživanje mineralnih blaga (MSFI 6),l10n_hr_chart_template_rrif
110,kp_rrif0110,account.data_account_type_non_current_assets,,"Ulaganje u koncesije idozvole(za resurse, ceste, ribarenje, linije, sirovine, itd.)","Ulaganje u koncesije i dozvole (za resurse, ceste, ribarenje, linije, sirovine, itd.)",l10n_hr_chart_template_rrif
111,kp_rrif0111,account.data_account_type_non_current_assets,,"Ulaganje u patente i tehnologiju, inovacije, teh.dokumentaciju za proizv. proizvoda ili pružanje usluga","Ulaganje u patente i tehnologiju, inovacije, tehničku i tehnološku dokumentaciju za proizvodnju proizvoda ili pružanje usluga",l10n_hr_chart_template_rrif
112,kp_rrif0112,account.data_account_type_non_current_assets,,Ulaganje u licenciju i frenčajz (Franchising),Ulaganje u licenciju i frenčajz (Franchising),l10n_hr_chart_template_rrif
113,kp_rrif0113,account.data_account_type_non_current_assets,,"Robne marke, trgovačko ime, lista kupaca, industrijska prava, marketinška prava, usl. marke i sl.prava","Robne marke, trgovačko ime, lista kupaca, industrijska prava, marketinška prava, uslužne marke i sl. prava",l10n_hr_chart_template_rrif
114,kp_rrif0114,account.data_account_type_non_current_assets,,Ulaganje u tržišni udio (otkup prava distribucije za neko područje),Ulaganje u tržišni udio (otkup prava distribucije za neko područje),l10n_hr_chart_template_rrif
1200,kp_rrif01200,account.data_account_type_non_current_assets,,Ulaganje u računalni softwer,Ulaganje u računalni softwer,l10n_hr_chart_template_rrif
1201,kp_rrif01201,account.data_account_type_non_current_assets,,Ulaganje u internetske stranice,Ulaganje u internetske stranice,l10n_hr_chart_template_rrif
1210,kp_rrif01210,account.data_account_type_non_current_assets,,Ulaganje u autorska i dr. prava korištenja,Ulaganje u autorska i dr. prava korištenja,l10n_hr_chart_template_rrif
1211,kp_rrif01211,account.data_account_type_non_current_assets,,"Ulaganje u znanje (know how), dizajn","Ulaganje u znanje (know how), dizajn",l10n_hr_chart_template_rrif
1212,kp_rrif01212,account.data_account_type_non_current_assets,,"Ulaganje u pravo reproduciranja (npr. filmova), pravo objave u izdavaštvu i sl.","Ulaganje u pravo reproduciranja (npr. filmova), pravo objave u izdavaštvu i sl.",l10n_hr_chart_template_rrif
1213,kp_rrif01213,account.data_account_type_non_current_assets,,"Ulaganja na tuđoj imovini radi uporabe ili poboljšanja (nekretnina, opreme i sl.)","Ulaganja na tuđoj imovini radi uporabe ili poboljšanja (nekretnina, opreme i sl.)",l10n_hr_chart_template_rrif
1214,kp_rrif01214,account.data_account_type_non_current_assets,,Ulaganje u dugogodišnje pravo uporabe (prema ugovoru),Ulaganje u dugogodišnje pravo uporabe (prema ugovoru),l10n_hr_chart_template_rrif
1215,kp_rrif01215,account.data_account_type_non_current_assets,,Ulaganje u pravo suvlasništva opreme,Ulaganje u pravo suvlasništva opreme,l10n_hr_chart_template_rrif
1220,kp_rrif01220,account.data_account_type_non_current_assets,,Založno pravo i hipoteke (realizirane),Založno pravo i hipoteke (realizirane),l10n_hr_chart_template_rrif
1221,kp_rrif01221,account.data_account_type_non_current_assets,,Ostala dugogodišnja prava,Ostala dugogodišnja prava,l10n_hr_chart_template_rrif
130,kp_rrif0130,account.data_account_type_non_current_assets,,Goodwill,Goodwill,l10n_hr_chart_template_rrif
