id,name
account_type_2011_1_provision,Provisions et dettes financières (classe 1)
account_type_2011_4_regul_actif,Régularisation - Actif (classe 4)
account_type_2011_4_regul_passif,Régularisation - Passif (classe 4)
account_type_2011_5_disponibilite,Disponibilités (classe 5)
account_type_2011_6_charge_exploitation,Charges d'exploitation (classe 6)
account_type_2011_6_charge_finance,Charges financières  (classe 6)
account_type_2011_6_charge_exception,Charges exceptionnelles  (classe 6)
account_type_2011_6_charge_impot,Charges d'impôt  (classe 6)
account_type_2011_7_produit_exploitation,Produits d'exploitation (classe 7)
account_type_2011_7_produit_financier,Produits financiers  (classe 7)
account_type_2011_7_produit_exceptionnel,Produits exceptionnels  (classe 7)
